                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.86653,                0.70057,                0.93678,                0.87324,                0.82787,                 0.8825,                0.68638,                0.88002,                  0.742,                0.96351,             0.00029112,             0.00029112,             0.00029112
                     54,                0.87824,                0.70326,                0.93958,                0.87853,                0.82504,                0.89295,                 0.6859,                0.87462,                0.73738,                 0.9642,              0.0002853,              0.0002853,              0.0002853
                     55,                0.86617,                 0.7019,                0.93722,                 0.8983,                 0.8045,                 0.8808,                0.67821,                0.88647,                0.78704,                0.97192,             0.00027948,             0.00027948,             0.00027948
                     56,                0.86473,                0.69222,                0.94057,                0.92086,                 0.8073,                0.89566,                0.69199,                0.86199,                0.70993,                0.95814,             0.00027366,             0.00027366,             0.00027366
                     57,                0.84633,                0.67613,                0.92934,                0.88112,                0.84452,                0.89486,                0.69005,                0.85099,                0.70952,                0.95247,             0.00026783,             0.00026783,             0.00026783
                     58,                0.85236,                0.67919,                0.93386,                 0.9163,                0.81978,                 0.8929,                0.68809,                0.85748,                0.72591,                0.95445,             0.00026201,             0.00026201,             0.00026201
                     59,                0.84486,                0.67866,                0.93235,                0.84001,                0.85183,                0.89196,                0.68145,                0.86295,                0.69934,                0.95821,             0.00025619,             0.00025619,             0.00025619
                     60,                0.84677,                0.66776,                0.93124,                0.88404,                0.82905,                0.89564,                0.68799,                 0.8657,                0.75085,                0.95914,             0.00025037,             0.00025037,             0.00025037
                     61,                0.84761,                0.66388,                0.92724,                0.88024,                0.84189,                0.89671,                0.69459,                0.85544,                0.70328,                0.95274,             0.00024455,             0.00024455,             0.00024455
                     62,                0.84577,                 0.6695,                0.93116,                0.89626,                0.82451,                0.89471,                0.68279,                0.86948,                0.72209,                0.95868,             0.00023873,             0.00023873,             0.00023873
                     63,                0.83947,                0.66229,                0.92904,                0.90299,                0.83104,                0.89428,                0.69208,                0.84951,                0.69873,                 0.9499,             0.00023291,             0.00023291,             0.00023291
                     64,                0.84799,                0.65976,                 0.9273,                 0.9082,                0.82452,                 0.8931,                0.68687,                0.85871,                0.70082,                0.95532,             0.00022709,             0.00022709,             0.00022709
                     65,                0.82368,                0.66034,                0.92453,                 0.8855,                0.82984,                0.89075,                0.68898,                0.86708,                0.77536,                0.95932,             0.00022126,             0.00022126,             0.00022126
                     66,                0.83264,                0.65002,                0.92523,                0.92344,                0.84232,                0.89468,                0.68603,                0.86756,                0.71797,                0.96562,             0.00021544,             0.00021544,             0.00021544
                     67,                0.84018,                 0.6509,                0.92672,                0.89272,                0.85858,                 0.9009,                0.70208,                0.85785,                0.69456,                0.96187,             0.00020962,             0.00020962,             0.00020962
                     68,                0.83628,                0.64932,                 0.9271,                0.92175,                0.83162,                0.89656,                0.69843,                0.84054,                0.69379,                0.94888,              0.0002038,              0.0002038,              0.0002038
                     69,                0.82803,                0.64875,                0.92566,                0.92434,                  0.838,                0.90139,                0.69903,                 0.8535,                 0.6597,                0.95078,             0.00019798,             0.00019798,             0.00019798
                     70,                 0.8164,                0.63201,                0.92049,                0.92151,                0.84025,                0.90345,                0.70179,                0.85303,                 0.6733,                0.95156,             0.00019216,             0.00019216,             0.00019216
                     71,                 0.8167,                0.62739,                0.91927,                0.90312,                0.84921,                0.89418,                0.69874,                0.85461,                0.72783,                0.95031,             0.00018634,             0.00018634,             0.00018634
                     72,                0.82221,                0.62481,                0.92099,                0.88739,                0.84879,                0.89993,                0.70408,                0.83553,                0.67438,                0.94484,             0.00018052,             0.00018052,             0.00018052
                     73,                0.81495,                0.62603,                0.91894,                0.89436,                0.85309,                0.89768,                0.70211,                0.84647,                0.67754,                0.95562,             0.00017469,             0.00017469,             0.00017469
                     74,                0.81521,                0.62442,                0.91938,                0.88396,                0.85548,                  0.904,                0.70409,                0.85111,                0.67867,                 0.9565,             0.00016887,             0.00016887,             0.00016887
                     75,                0.80482,                0.61118,                0.91852,                 0.8985,                0.83569,                0.89812,                0.70581,                0.83596,                0.67603,                0.94546,             0.00016305,             0.00016305,             0.00016305
                     76,                0.80407,                 0.6248,                0.91922,                0.91144,                0.84725,                0.89808,                  0.706,                 0.8296,                0.66032,                0.94334,             0.00015723,             0.00015723,             0.00015723
                     77,                0.81317,                0.61968,                0.91972,                 0.9064,                0.84961,                0.90535,                0.71129,                0.83803,                0.68617,                0.94886,             0.00015141,             0.00015141,             0.00015141
                     78,                0.80006,                 0.6051,                0.91718,                0.91729,                 0.8459,                0.89792,                0.70605,                0.84113,                0.66104,                0.95095,             0.00014559,             0.00014559,             0.00014559
                     79,                0.79601,                0.59785,                0.91484,                0.90516,                0.85928,                 0.9028,                0.70486,                 0.8309,                0.66675,                0.94855,             0.00013977,             0.00013977,             0.00013977
                     80,                0.79158,                0.60363,                0.91345,                0.88395,                0.86831,                0.89976,                0.70842,                0.82724,                0.68076,                0.94005,             0.00013395,             0.00013395,             0.00013395
                     81,                0.78828,                0.60299,                0.91578,                0.90136,                0.85381,                0.90311,                0.70755,                0.83606,                0.65957,                0.94756,             0.00012813,             0.00012813,             0.00012813
                     82,                0.78974,                0.60221,                0.90994,                0.90638,                0.85896,                0.90288,                0.71469,                0.81976,                0.65278,                0.93603,              0.0001223,              0.0001223,              0.0001223
                     83,                0.79126,                0.60071,                0.91625,                0.89525,                0.84223,                0.90104,                0.70833,                 0.8295,                 0.6563,                0.94512,             0.00011648,             0.00011648,             0.00011648
                     84,                0.78196,                0.59268,                0.91049,                0.90904,                0.85682,                0.90542,                0.71259,                0.82313,                0.65245,                0.93702,             0.00011066,             0.00011066,             0.00011066
                     85,                0.77765,                0.58244,                 0.9103,                0.88052,                0.86702,                0.90831,                0.71578,                0.82163,                0.64522,                0.93778,             0.00010484,             0.00010484,             0.00010484
                     86,                0.78676,                0.58381,                0.91109,                0.89887,                0.86612,                0.90579,                0.71079,                0.83081,                0.66248,                0.94758,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                0.79048,                0.58027,                 0.9095,                0.89349,                0.87222,                0.90734,                0.71311,                0.82636,                0.65683,                0.94574,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                0.78363,                0.58284,                0.91221,                0.90321,                0.86105,                0.90862,                0.71638,                0.82416,                0.65392,                0.94663,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                0.76915,                0.57399,                 0.9057,                0.91666,                0.85346,                0.90474,                0.71994,                0.81553,                0.64869,                0.93896,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                0.76745,                0.56565,                0.90468,                0.90363,                0.86427,                0.90747,                0.71466,                0.82443,                 0.6574,                0.94768,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                0.75285,                0.53069,                0.90275,                0.90979,                0.86797,                0.90363,                 0.7149,                0.82535,                0.64067,                0.94899,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                 0.7434,                0.51896,                0.90029,                0.91789,                0.85883,                 0.9053,                 0.7145,                0.82333,                 0.6495,                0.94437,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                0.73908,                0.50947,                0.89898,                0.91787,                0.84476,                0.90547,                0.71616,                 0.8206,                0.66662,                 0.9438,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                0.73254,                0.50577,                0.89768,                0.89926,                0.86341,                0.90302,                 0.7131,                0.82567,                0.68017,                0.94948,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                0.73371,                0.50708,                0.89685,                0.92132,                0.86322,                0.90614,                0.71546,                0.82018,                0.65779,                0.94557,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                0.72196,                0.50114,                0.89358,                0.91389,                0.86009,                0.90576,                0.71966,                0.81233,                0.65965,                0.94122,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                0.72555,                 0.5024,                0.89324,                0.92537,                0.84827,                0.90227,                0.71402,                0.81459,                0.65565,                0.94461,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                0.72534,                0.49582,                0.89193,                0.92272,                 0.8546,                0.90278,                 0.7194,                0.82026,                0.67658,                0.94698,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                0.71581,                0.49243,                0.89103,                0.92506,                0.85328,                0.90696,                0.71895,                0.81416,                0.64777,                0.94137,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                 0.7177,                0.49037,                0.89025,                0.91348,                0.85837,                0.90794,                0.71991,                0.81027,                0.65585,                0.94165,             1.7522e-05,             1.7522e-05,             1.7522e-05
